"name"|"DISPLAY"|"Loc_x"|"Loc_y"
1511|2300 Oregon Street, South Berkeley, Berkeley|-122.259391272727|37.8586633636364
1932|600 Laura Drive, San Tomas, Campbell|-121.963201631579|37.2761031578947
1981|600 Crest Drive, Ben Lomond|-122.087213489362|37.0786250638298
1928|1300 Bryan Avenue, South San Jose, San Jose|-121.884511736842|37.2681923157895
1951|400 Delta Street, Visitacion Valley, San Francisco|-122.412391583333|37.7131399166667
1014|Delta de Anza Regional Trail, Antioch|-121.836151425|37.99000475
1934|16700 Madrone Avenue, Los Gatos|-121.988473147368|37.2188576105263
1054|0 Avon Road, Kensington|-122.28488664|37.90716192
1923|100 North Midway Street, Pruneyard / Dry Creek, Campbell|-121.926982454545|37.2869597272727
2607|100 Campus Drive, Stanford|-122.175982222222|37.4296858888889
1273|200 Naglee Avenue, Outer Mission, San Francisco|-122.454292714286|37.7116
1597|26200 Regal Avenue, Harder - Tennyson, Hayward|-122.087951666667|37.6427664166667
11|0 Mesa Vista Court, San Ramon|-121.974941230769|37.7641864615385
104|4300 Baine Avenue, Centerville, Fremont|-122.00936808|37.55459388
1869|12900 Tripoli Court, Los Altos Hills|-122.129596595745|37.353561712766
119|1100 Rosewood Avenue, San Carlos|-122.257854071429|37.4984025
2488|200 Azucar Avenue, Edenvale, San Jose|-121.8049488|37.2628994
47|9700 Birch Street, Cox, Oakland|-122.166513692308|37.746447
1893|2200 Shade Tree Lane, North San Jose, San Jose|-121.882699235294|37.3993698823529
125|4300 Silva Court, Palo Alto|-122.115770875|37.4065385
1875|Guadalupe River Trail, Edenvale, San Jose|-121.858933809524|37.25295
828|4200 Amargosa Drive, Antioch|-121.768122863636|37.9874893636364
866|0 Bernard Street, Nob Hill, San Francisco|-122.414835272727|37.7962788181818
739|1700 Halford Avenue, Santa Clara|-121.999634307692|37.3548559230769
885|6300 Colby Street, Upper Telegraph, Oakland|-122.257797|37.847519125
136|5800 Leisure Town Road, Vacaville|-121.943478137931|38.3320740344828
184|0 South Almaden Boulevard, Central San Jose, San Jose|-121.897125461538|37.3279208076923
78|1400 Thomas Avenue, Bayview, San Francisco|-122.387227222222|37.7277387777778
65|42600 Everglades Park Drive, Blacow, Fremont|-121.975870625|37.5198764375
886|4400 Telegraph Avenue, Temescal, Oakland|-122.263901052632|37.8306770526316
541|200 San Fernando Way, St. Francis, Daly City|-122.478807652174|37.6821598695652
79|1500 California Street, Polk Gulch, San Francisco|-122.419425181818|37.790887
